seller,A01,A02,A03,B07,B08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24A,C24B,C25,C26,C27,C28,C29,C301,C302T309,C31T33,D,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62_63,K,L,M,N,O,P,Q,R,S,T,TXS,IMP_OTHER_plus
C24B,0.006375719139883054,0.0035959185409659557,0.003416245240399375,0.010613906891843434,0.006362162070568126,0.011625930191768408,0.00834286961725531,0.005679823935589409,0.006648439035026155,0.007781666883509252,0.002871098071560979,0.013348078079421637,0.005902168063049706,0.01198865616575503,0.010518944733235001,0.06602171020487659,1.4275251787879613,0.08905414328918886,0.04753661926992851,0.10427135379618187,0.05656821217589269,0.04914061799976132,0.03905824352618023,0.05101829302615526,0.03041718159573144,0.009949151804860818,0.017637641433883026,0.018818479580358555,0.00471964530784377,0.00440357039533189,0.005453961052244575,0.006122440888872321,0.003993891434879462,0.00278686711622958,0.0036220370385438715,0.003072148737492302,0.005229314597041937,0.002461173472783631,0.0013039798581388792,0.0015767857786061423,0.0032859559263545583,0.0027643385354952045,0.0024122993530603836,0.0011691364309988485,0.0035274368847313096,0.00392065357956734,0.004030074466637452,0.0,0.0,0.0
C25,0.028195438721780205,0.017971001659069633,0.016119601038453404,0.04712669651920409,0.02995876108012094,0.07019167176445573,0.041540888706459264,0.02293026206460074,0.035688001572700696,0.027055563644571526,0.011257805765313253,0.033438101766621466,0.02000935008652143,0.03930426977977692,0.037515076848873924,0.08476652182579071,0.06291154081216933,1.2062496913724532,0.06835779054422127,0.10422719709583657,0.17911444053762854,0.13473368007385284,0.1667501980421095,0.13223823274027285,0.07424330975120341,0.03301458332592452,0.031756537611398204,0.09320885403945516,0.01766791192015013,0.017142547375196906,0.022398828333102964,0.024989015356869496,0.01739815394360698,0.01105971563600096,0.015885952797576295,0.010966833855485143,0.015885664143578004,0.008071541989696753,0.005071449182842158,0.007785489451879292,0.01395662358940975,0.012815028368064802,0.011928199037952038,0.004776643937980419,0.012408665543094775,0.014953362867759744,0.016151874548514397,0.0,0.0,0.0
C26,0.006336332259495008,0.0038449765849812357,0.004271741324715268,0.008844514219338738,0.006617626484302996,0.01255948574729558,0.00709839468921366,0.005921293548694077,0.005008350916539157,0.007837569068728947,0.0035408888231588265,0.008980206806983875,0.006414816911192241,0.00799615999543387,0.0073290933847118805,0.010301762012004579,0.010493427174513714,0.011532041136081014,1.3650758293739382,0.07451560273235541,0.036114104077124884,0.02901083202575406,0.0363652513091981,0.026721638522343133,0.020284858883431588,0.01424239556636003,0.008958334336590405,0.01158205551027465,0.008395743037579758,0.005769455688749799,0.008483388652245762,0.009986905045779957,0.00727099243544614,0.008264629986825407,0.005130310239090493,0.013124904720937395,0.047135960973622715,0.021792189778266566,0.004440747971626189,0.001686367799589111,0.010418524216199165,0.007442960759475271,0.004626288381324222,0.003109079436211647,0.011340558979018828,0.009020209613499886,0.009930066656519274,0.0,0.0,0.0
C27,0.009320002527449644,0.005105384469317297,0.0063454679800165024,0.015928108918813588,0.012253449870784227,0.019375860111975896,0.01024097559983691,0.007837961141569141,0.006929590981646735,0.01162855415076262,0.0046928127962665225,0.011578685292539205,0.007275910341018394,0.011440075430558938,0.011770738117613077,0.0173801152690137,0.017966038829478538,0.018126761013307537,0.07332237052330073,1.1976169501519003,0.0492991635804903,0.055907850025475526,0.03178710824919563,0.039587979731376136,0.027441005353158975,0.037796072343706605,0.013991824799482022,0.028390347785564887,0.009418142499947416,0.00871808019842129,0.009996694731502024,0.009761248538792231,0.007775576755689503,0.006334711922548559,0.007308117430358028,0.007720393619876655,0.020376406946423828,0.007363417030064654,0.00295147553969049,0.0026650314125759547,0.008158965541228035,0.006744595346213609,0.00496553643503076,0.0026577371921193667,0.007316661174144063,0.010417951023720983,0.009088175085497611,0.0,0.0,0.0
C28,0.009755085317392474,0.009130776395899211,0.007803864442721098,0.027982161605033033,0.017918543818818824,0.038078065244251516,0.010808547224317717,0.007822744939996972,0.009205843143982111,0.012096825864495645,0.005984008624302451,0.011262080850487159,0.006999581263430837,0.011573604843866065,0.017606212611595794,0.0194969731469595,0.016731285246019884,0.020284720630679372,0.024922412390470484,0.03524028545059233,1.1095304482567818,0.04031674732449201,0.05008555236188795,0.034896463555340505,0.02987965268230047,0.01860746416338011,0.013337393556947531,0.018834221086616885,0.006969087932388962,0.0071636624809492695,0.008235768682242081,0.009973721147081059,0.006737758654170277,0.005202129779955492,0.00499346635877903,0.004968864718057607,0.00695949025422687,0.0039173684624584475,0.0024949373571055617,0.001833435385209719,0.005472416528804531,0.005453191790596911,0.0035337835950135935,0.0018648409158023124,0.005344306579791258,0.006433072175790907,0.005440457726132237,0.0,0.0,0.0
C29,0.011562961885577885,0.01247094472344351,0.006764699886250065,0.015119679222841477,0.011022970944427222,0.017178890350649324,0.013494530685023797,0.010921536196545702,0.011191771021824521,0.011906959861308576,0.005463105108419501,0.013973382984004218,0.009721520274731024,0.015375439408998921,0.012880306170346053,0.015541925880466477,0.015625591565220837,0.01484470577025383,0.03724999441548465,0.033037768186325235,0.028374100474579413,1.442873178772263,0.02023044836023595,0.038076365388345815,0.01786151768919214,0.012494399716061406,0.012318971792598676,0.013599894527422593,0.03099106026755547,0.02994465467745595,0.014856698244099666,0.01623714028945102,0.011806539712913705,0.009510515962926508,0.006592261682195916,0.006673062447873181,0.00878014478591094,0.005293874173357721,0.003007301876830019,0.001797324570451711,0.0066163816776086595,0.007612984290712757,0.003789199705557561,0.002158478862636632,0.006607015721739021,0.007557726959392193,0.006488770388440259,0.0,0.0,0.0
C301,0.00013887105280767988,0.0001536690889363134,0.0015343263055882298,0.00020074406872920987,0.00018050255157073538,0.00019557367128580124,0.0001689301643175936,0.00012129928418159756,0.00015957302450848998,0.000152766959468979,0.00012829474188169628,0.00016966119276387066,0.00010572618907087064,0.0001504462974576333,0.00014984011733349496,0.0001995254175925144,0.00017923263875293494,0.00018612748929104235,0.000270737875685216,0.00023473327516318338,0.0003684215473682706,0.0005033950032737684,1.1494478137812858,0.01196697802376068,0.0010960086215618203,0.0001586175455382993,0.00012095965143031235,0.0001407381137643718,0.0001419966651968414,0.00038532780719760653,0.019161933401885593,0.003410928052628713,0.0006902277248856819,0.00015187404355680148,8.025554990069773e-05,7.361444161185015e-05,7.940006274179753e-05,4.939040385141088e-05,3.728755594508514e-05,1.918185752700851e-05,7.467132690254415e-05,9.529805263747384e-05,0.000518172377017624,2.63485682276172e-05,8.04505572443283e-05,0.00011842341052543107,0.0001145303679826964,0.0,0.0,0.0
C302T309,0.0008642968031942295,0.0011081589476563502,0.0031738270787861817,0.0011280488062480993,0.0009033042571489226,0.0014519659790856627,0.0010493333928145415,0.0007593149519452068,0.0009997304769495952,0.0009135343934833618,0.0005402998672012354,0.0010066998122582132,0.0006596455693721545,0.0009346697324661598,0.0009399695693347657,0.001182063736354313,0.0011107225102509467,0.0012903520841030353,0.0016682482881754646,0.0017849550968910511,0.0019049325846543744,0.009898849744450669,0.03322255016242089,1.2843454311045317,0.006867649006616095,0.0009188609031018578,0.0007780466141137376,0.0009157824430073214,0.0012940204813601517,0.006220158186223541,0.006690764667577844,0.030961367477162376,0.0017898882032540207,0.001151739413239163,0.0004977115760159687,0.00047172932571953543,0.0005067647113763932,0.00033879976346816914,0.00024980354751293066,0.00012633048714943585,0.00048752530393204483,0.0008094596902670709,0.0018545552172303343,0.00017986545195440828,0.000714380118359548,0.0006220850841150051,0.0007600355609021681,0.0,0.0,0.0
C31T33,0.018948101044925385,0.011066427518468234,0.015971731329450227,0.02216809740460814,0.022428670372610853,0.03083251075970552,0.017215406102393804,0.017768691749813343,0.015891741478782872,0.018354446674282203,0.007880592108370065,0.017173747138782565,0.01190472308911884,0.015008236196959441,0.018399631459750734,0.0269863452458596,0.022416541603147475,0.01907490174270174,0.021557769038790822,0.020619534912346776,0.02176221342648453,0.02069088075063951,0.021646407567184715,0.023474738907292864,1.048514946500711,0.02734650005884108,0.021152861957016034,0.01583349338461252,0.008861130164113912,0.014470244966401783,0.021540044127901083,0.0378700018902813,0.013136356720381966,0.010086528548562547,0.009974767341834865,0.008503655245984822,0.01112549700345075,0.006458182710165656,0.00468407564538411,0.0024667381840618166,0.008999292963938525,0.008638621071741187,0.0059377379043095094,0.004710616925289523,0.01884244527947793,0.017159039775524212,0.012054297641580043,0.0,0.0,0.0
D,0.1309769019547102,0.04658386919592347,0.07270926620132041,0.20787447536224904,0.1690755783583589,0.121655043239947,0.14622288717949591,0.11667947197736314,0.08168859249320021,0.19537564935873494,0.09328054894046503,0.18825715597498474,0.08783669057937096,0.14825655391412493,0.19232671372320845,0.271504903263933,0.25018698554180796,0.1457301754817002,0.12041342925393085,0.1297684861097358,0.11983155422236604,0.1307331578746772,0.11584047713241408,0.12379746509647481,0.09044501940964016,1.6077595684654982,0.17486496463019788,0.08386585815106276,0.07691894360840439,0.08977806087399329,0.06526992014886097,0.07559589763321913,0.075310552651802,0.07138183818241438,0.11820711952054107,0.06716129707662073,0.08397115002057294,0.03655163152005769,0.03148476507786216,0.02334613367283964,0.04728944432232753,0.04049695016956882,0.04365717956087787,0.03821872718802789,0.08103869987682251,0.10897797760399894,0.0951886744696398,0.0,0.0,0.0
E,0.021747164631690404,0.007057255448284762,0.012890589671586362,0.030832545049745284,0.019480280114589077,0.030812473265406117,0.0256798258702548,0.015705091774095025,0.014047586970724574,0.06114904695572529,0.0113288614962133,0.024173640284707552,0.014796913163248887,0.020556791562532706,0.025483613045557258,0.15307164745544027,0.1512950871201824,0.04980430751124423,0.023180547018204933,0.033155666107101814,0.03631609516995485,0.03085733137521012,0.031748995703012345,0.035935984296032314,0.01909365507720639,0.03589778159358203,1.2792955516890805,0.020824446234734766,0.013263707833730353,0.010779851522255376,0.01258750947953819,0.012658234314567944,0.012208018690590777,0.012105998688674166,0.020117171151031663,0.01107436036093097,0.00892849076037949,0.00573342085665593,0.005297066009318133,0.004874494730925405,0.009966719675737023,0.008528325964448113,0.018513703715689247,0.00835968542787184,0.021232769617229412,0.01794732575521837,0.01588514074267473,0.0,0.0,0.0
F,0.03815207989361786,0.03907055873081699,0.023630108834941255,0.039095976312550955,0.03178152516564295,0.06859554535433972,0.030008765616844624,0.02118712242763805,0.026136995809128746,0.028774091531553483,0.01498402794362245,0.02829021158626961,0.018200329933419634,0.024905528088407024,0.033632735640624654,0.04241452696963621,0.04170569451929665,0.031196490028195335,0.027011941537426504,0.029100608171364905,0.027188297167913215,0.028612206972701906,0.030679624786055487,0.028089457965124572,0.03209798358370245,0.0834847510221256,0.07246695126516053,1.2309773115691456,0.027484500323099192,0.027069619087326573,0.02562560313329678,0.025411551519168286,0.048789585641866626,0.026070807721539118,0.027798117221991873,0.020262509593171465,0.0378252062265257,0.012494584699236979,0.014380851543800179,0.054132069831217475,0.031352968134123034,0.017897706790031446,0.03928324848911298,0.015125413106413731,0.027215681526890162,0.03118047273049831,0.026309196228756136,0.0,0.0,0.0
G,0.23567021881597947,0.11969366555964217,0.10531457438924963,0.1457557514836502,0.11443028752515712,0.17004246662591066,0.2710097910990882,0.25160541929114616,0.18738867616927893,0.22443652321088903,0.10087804910360892,0.29403986817925315,0.20588697515210852,0.26744451620621923,0.17718405495848777,0.22838971618047352,0.1904099884485909,0.19393773731394146,0.317859263334698,0.2502418290612763,0.22471786038898606,0.3061156886662234,0.21718063979465338,0.23908395861505635,0.1818515479526986,0.13451395172785835,0.12792895318627634,0.17057648807832984,1.09402961846347,0.1308862079704882,0.13846602081535153,0.16805501505338058,0.08326402449482019,0.08375813278911493,0.12782897798538218,0.09692461224686756,0.09239101732083844,0.06025362388475491,0.03425048682403029,0.02174259810129022,0.0685563529646632,0.07077687322661787,0.04135567504398123,0.025430434857687173,0.11338591774891195,0.09037306183041234,0.08535610876981663,0.0,0.0,0.0
H49,0.03832122403279957,0.04157145536157061,0.01909029780668983,0.04638788226487884,0.058877008511646144,0.06367448276659583,0.04902223147926551,0.031272066100015164,0.04594643230971159,0.04448145785390151,0.03187396804702438,0.04697900500517603,0.02918443666059355,0.039271470532398926,0.05269075782997565,0.052239973350560256,0.043694849444260005,0.03770736227943787,0.043513202897912336,0.042588850599731505,0.038334476929517164,0.0447098372951339,0.0341065813374685,0.03948245074027503,0.03256242631905877,0.03762008045658358,0.030741990511675858,0.0328456344694606,0.035283933685427364,1.0682149922569253,0.03525352628454748,0.03585811712764836,0.05947274711728205,0.08864404801219153,0.020459649046582516,0.02045533277726785,0.016418271435722376,0.009827635213794072,0.009019743315984506,0.004328874949112306,0.01569645239459839,0.014890155149121185,0.0103347440364006,0.00720676465715705,0.01946525857326349,0.018293837399682822,0.019715705581154323,0.0,0.0,0.0
H50,0.0029346684469990694,0.004499534821475255,0.00371333884612529,0.0027947367590081735,0.003718443121566302,0.003413749121950236,0.0035877880861280324,0.0027200983642224385,0.004035100045599277,0.003515514116726227,0.004318832956891619,0.004225001762161242,0.002424164409547807,0.003530466973500413,0.003281735443667328,0.004569470295178944,0.004027639850734008,0.0033451879220180772,0.005567867281368939,0.00446592490630953,0.0035620379383175943,0.004114282654748149,0.0034092915424901163,0.0038748828081686818,0.0029223418416501317,0.0031381063241153733,0.0018658354019608493,0.0026798451787315263,0.002952272188957145,0.0036207356734323055,1.0829212694145294,0.00454967728057743,0.01013467044724387,0.002389363563153733,0.0015619755698872263,0.0014024038708404178,0.0014498079001002307,0.0008409234683814776,0.0005186255947348944,0.0003196120834704209,0.0011944956590773975,0.001235772902491828,0.0007165249789259245,0.0003843230677204032,0.0013821423378636217,0.001371385575852725,0.0012564856987220068,0.0,0.0,0.0
H51,0.005090927671190456,0.004104657937707562,0.0025668270010946936,0.00368945082966307,0.003284291967625919,0.00493423912040756,0.005829959709330617,0.004210422950497525,0.006194698024048397,0.005545753563932283,0.004246780702923638,0.006258273668456582,0.003930092389102058,0.005650787960913743,0.00486912669533496,0.00492845224464393,0.0049548764541432295,0.0043559175868718904,0.0071108062535986186,0.006546662689589814,0.005291213539397882,0.006340416129315503,0.0049611715301632175,0.00561324292969033,0.0048716944005182125,0.004631084682670285,0.003414730164998699,0.004638436970292324,0.0027514715518188793,0.0031289724670668395,0.0046908105956136505,1.0184211896025552,0.005855980012605238,0.007245515008561378,0.0028518469104246076,0.0028594282754610114,0.002686887402206293,0.002074885943649684,0.0017485365756681136,0.0006559519253432853,0.0026300788543068875,0.003088168662486017,0.0015298430614846172,0.0008062693091137817,0.002515531651339027,0.002750602328758675,0.00263337788237811,0.0,0.0,0.0
H52,0.032049013665465094,0.027755366022258907,0.02548769462201786,0.033473374555433956,0.03042357216839634,0.0501440637251642,0.04180934508677469,0.028281457843291453,0.038509714807223074,0.039241258885194405,0.025181021742492454,0.039287038474528774,0.025563057209234727,0.033654542489663375,0.03608362338844499,0.040082897053499635,0.03391410885111004,0.03232580707084225,0.03975532565321951,0.03868365355059613,0.03386585619278823,0.04327678502101341,0.031734191003955685,0.037329494173343164,0.029666685369748553,0.02678809854960401,0.024536633785531472,0.029048531558663996,0.043335363843219316,0.07776189410535915,0.19446263913350276,0.20630153259008913,1.1816610767650186,0.055512667329156995,0.018073120118777285,0.016530680202790235,0.016757960521222776,0.009800676601688317,0.00692535632897023,0.0037259563596960445,0.013979856548880603,0.013657422861786313,0.008631099285348538,0.004217929449379919,0.013427047072360025,0.015933367810190283,0.014848250496024439,0.0,0.0,0.0
H53,0.005723150788224261,0.0031041459569919184,0.00328488902429025,0.0050626127007427175,0.0042528030686156786,0.009032400094649463,0.006046097403594802,0.005501240491884495,0.0042908116364197765,0.006257928302397858,0.0024054938866937487,0.005957589169821596,0.005111919932571767,0.0053731795438632605,0.004708173654005975,0.005619119852550691,0.005328041213955863,0.0047531000857138905,0.0066778098408215945,0.00600326232820601,0.005782134622794285,0.006270826264608291,0.00519067645089556,0.005767185640392314,0.004925027401922897,0.007437722473305402,0.005596777303595858,0.004455234804450015,0.011104573007800156,0.005174715102219146,0.005392547547960509,0.006499533093617829,0.008864413961643853,1.225300479749475,0.005405137902165772,0.010331139334704528,0.012724036712747664,0.005296259034193669,0.014268885608768331,0.0018565639772908816,0.008295245588026327,0.005377255420128704,0.005752993785469255,0.0022861025652650357,0.005517141826310876,0.007476379784269386,0.009963863723916508,0.0,0.0,0.0
I,0.009941459397438332,0.0080779179481973,0.006280437783150209,0.02080012785728471,0.013814489610977356,0.023529358747349002,0.0126543840937383,0.011246037306127634,0.009616292736695349,0.011477732864311845,0.005896857712469399,0.014048737107764062,0.012305542808172788,0.012032678563372748,0.01068593803625388,0.013311287073195226,0.013127283884958294,0.011608233489081868,0.014848181349536794,0.015337624189713555,0.01319511549959049,0.012696501962800763,0.012406565126560819,0.013565906985982595,0.01192302096731025,0.013567937136193427,0.013826392848576273,0.011714523530620156,0.014547646047589124,0.015229155476278797,0.020291756374464252,0.03272191620066619,0.021252232126329415,0.018291944983285676,1.0144170573893663,0.017186183395885322,0.015441420767775034,0.015690309471865317,0.014602806872184706,0.0031912008050635206,0.021908923619699063,0.02484370873599218,0.011950779432664694,0.0078669852662801,0.016870192237703502,0.027157989835777753,0.02628295988268207,0.0,0.0,0.0
