seller,A01,A02,A03,B07,B08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24A,C24B,C25,C26,C27,C28,C29,C301,C302T309,C31T33,D,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62_63,K,L,M,N,O,P,Q,R,S,T,TXS,IMP_OTHER
C23,0.004330086585233179,0.0010872284372677172,0.0009845520753566383,0.011145458947093987,0.009577001742610721,0.00574860675314944,0.009520483880920357,0.0020185484993759466,0.005211501553022497,0.0016079431958445542,0.0010945894544158983,0.006632524303388496,0.007273930317573899,0.009487588659434068,0.15066805089935467,0.01363329127435021,0.0074814293117882345,0.006157291993384447,0.00973606838651327,0.011133168773330005,0.0048072641222963765,0.008853249625368405,0.008525936223824833,0.0038674354942046713,0.006692591640882493,0.0029722000766504012,0.004001615419248878,0.08783247043516804,0.001831858051010827,0.0012531881721518704,0.0024597937877496538,0.0009043859844615272,0.0014416239738964838,0.0006699906978970069,0.0027026639999249646,0.0004656612578643265,0.0005582393290972877,0.00028660077660375746,0.00031673127939935375,0.0030798965882270143,0.0017225380475120412,0.0013216155912986907,0.0006864609327574843,0.00094109461313445,0.0014417379432009752,0.0014969862032275646,0.003043353359177568,0.0,0.0,0.0
C24A,0.0005621144743409591,0.0003562917410936042,0.0002769780070152245,0.007970353265423938,0.0015460677747344569,0.006228632978972509,0.0004659680548297339,0.0005282586009124859,0.001651715773295958,0.0006359685063751066,0.0005860699073581891,0.0007504217423082715,0.0003358273378423019,0.004933169704644989,0.008152143285615709,0.2900651434394458,0.023290006473401157,0.15566753852727608,0.010517720768521083,0.03328514651343526,0.08306894261596039,0.04171024564236735,0.05933399947866887,0.05601329766977155,0.01465855183880169,0.002005561061318064,0.010894632029173743,0.02234350057422132,0.0008044010352329186,0.00048114955032197657,0.0008920334480189462,0.0001254494072245918,0.001026422391946824,9.197416946577214e-05,5.40378406154663e-05,3.272214244452024e-05,3.40965851458153e-05,1.974081742417866e-05,2.8243553577012437e-05,0.00025241770693002397,0.0008596623957682631,0.00021806752984053436,0.00012558083046878632,9.740745142925187e-05,8.089219277195931e-05,0.0003882025099422647,0.00045184704196427853,0.0,0.0,0.0
C24B,0.00021525723482186592,0.0001428358827676487,3.0258101606705194e-05,0.0015496431165251815,0.0004099024011872455,0.00045661031236828546,0.000948360296934184,0.0004433984000078854,0.0007562346425399883,0.0007646620192665317,0.00020057685421405648,0.003491180057394229,0.0008782408835103288,0.0023336692165034953,0.002076505572204474,0.0271411187619075,0.29355545388793236,0.0434446373622982,0.01691649087654302,0.05236900634482166,0.020270850616183434,0.013522312057104769,0.009511577895559996,0.01652799992831445,0.01261591144559158,0.0006166415419824184,0.006038926381785547,0.003244014622844262,0.00045358123079451744,0.00014356811360051724,0.00026529906692376946,2.5700953056041016e-05,0.00017959075552504328,1.0468604654640732e-05,0.00011471461593511846,6.60735568591274e-05,2.686397617549084e-05,1.9471624459303498e-05,2.5036410130538494e-05,7.560639473629281e-05,0.0001331405628115636,4.8182904603337265e-05,4.9579434287433104e-05,8.755725971168709e-06,8.164397895013737e-05,0.00015642509673994713,0.0003078976155017075,0.0,0.0,0.0
C25,0.007521483749291899,0.0047215637895875835,0.004960001117222212,0.023783363882807076,0.012669137292079635,0.038378682152390764,0.016540374747866675,0.006361126820259009,0.015072759910915353,0.006302958317937081,0.002997660237867284,0.009852953102859788,0.0059091639446189285,0.015412567781093045,0.01453381706338124,0.037258518528888236,0.024300882167013753,0.14988398868001776,0.026516231248052715,0.053919843439814125,0.1174669127295244,0.06173916558163911,0.09962312103571118,0.06733692657159372,0.04277972747976866,0.007135485576127446,0.009243482537445037,0.051168204629806854,0.005318021749766453,0.0038603676600474637,0.005073035816298422,0.005637315339550927,0.004369769610570712,0.0012891338874714729,0.0028507662816689245,0.0012695561996503766,0.002764332669310948,0.001307559961386961,0.0004701051555089542,0.001836052477472283,0.004052241767614907,0.004568249903729918,0.004307238857544972,0.0010085866674955422,0.0020204629431624464,0.0031594713423502307,0.005394666205028565,0.0,0.0,0.0
C26,0.0006110277504231145,0.0004297045970412225,0.0007925295074679323,0.0017677903020274386,0.001044725607128518,0.002669414133845361,0.0005662774134282559,0.0005795443484646309,0.0004235327806509867,0.0009927785280195653,0.0005469182691482381,0.0014086621261051057,0.0011127711194477462,0.0011542879995608687,0.001010779983394217,0.0013835354004658803,0.0017369976707145992,0.0031580547053441242,0.2611762311961731,0.04163099633968084,0.018291124638166824,0.009668666568874159,0.017622078373446867,0.010014471520674561,0.00963606475435515,0.003266845679680159,0.0019199852131764202,0.0030807884686597214,0.0028024306811968076,0.0008915187115071632,0.0017812937350595952,0.0024372770936571487,0.00183141754554743,0.0021789652831159354,0.0007854014148882202,0.0048252574666265615,0.0258762084361151,0.011251637814863795,0.0008589454343338672,0.00018253812106655461,0.003915189414920106,0.0028437486478472963,0.0014529528659233868,0.0012173377675248228,0.005190707667230419,0.0026103068160904415,0.004006002128618292,0.0,0.0,0.0
C27,0.0012817413436845733,0.0005362330347478208,0.0016269548479297638,0.005190306816035415,0.003679662324503965,0.007235517257528215,0.0012130795506560793,0.000844597716444336,0.0008081675824244035,0.0017275652675077303,0.00044316642789186803,0.0015051251324162546,0.0011766431837030428,0.002283169116522707,0.002027665034056883,0.002991320811431098,0.00392200785540586,0.006318970985774804,0.039524171994651795,0.1553857160306409,0.02952780720835909,0.026188636904137454,0.014290446607003213,0.018453653050892263,0.015549557826361927,0.016536316991608915,0.0035316253017530666,0.014633753018102083,0.0031345379994280505,0.002191835626117562,0.002818455940942764,0.0017266367553103918,0.0016352962772979225,0.000881606063415816,0.0013492476832530286,0.001722317382127921,0.00937715133215801,0.0024610518158770366,0.0002577612224803168,0.00037881432462037436,0.0028428467287144846,0.0025600757856461915,0.0014406600226484162,0.0005621176073490311,0.0017530525995845102,0.0032989323050174975,0.0031012664424722057,0.0,0.0,0.0
C28,0.002830079452047084,0.003738070909637153,0.0038334687189418046,0.019292724259297196,0.010992741574403591,0.02718587552100407,0.00283772991184328,0.001982817888468746,0.002375673369533282,0.0037335633044478485,0.0024880866082423836,0.0028422585541026495,0.00199600200797802,0.003762571113785978,0.008375526131566391,0.006488722918641621,0.005004071978146102,0.009452804501993445,0.010811128631678884,0.020038737371093546,0.09058825426013721,0.019447463245684905,0.03207272569293596,0.017902570375049845,0.020363190173971302,0.00719787038997064,0.00524787941867582,0.008531924894525578,0.0026654088940643505,0.002215399997346826,0.0018081009578498018,0.002614667587827166,0.0021770277097311356,0.0012151058974136564,0.000613368089443125,0.0010109254199446493,0.001980111210957196,0.001188486939923847,0.0006296346779109805,0.0002772025846747027,0.001971076411879063,0.0025012990238717893,0.0011531299083703704,0.000485577969484398,0.0014568864346912634,0.0018830188820675095,0.0015517789836753853,0.0,0.0,0.0
C29,0.000982729828587112,0.0032979927568642015,0.0012510561241233877,0.004672872333350182,0.0026370387809712794,0.0045192712967732866,0.0011197011150762993,0.0007226208033473422,0.0007150607180897948,0.0008575535774438009,0.00043127035320499827,0.001038047729794778,0.0009036899091120485,0.0026859152554999234,0.0022720242649812085,0.0018544868359432881,0.0026092932222920398,0.002916660406971165,0.012020787572418855,0.011872212311933823,0.01054743876420277,0.2998112422933524,0.004854896168216179,0.014147143554796885,0.0057014116468196,0.0020172392206248275,0.002865805968634,0.0026359605762553352,0.017912802605422797,0.015843723184618297,0.0044490745961815415,0.004569377835641866,0.003644978055744358,0.001814807392629504,0.0004241198519162455,0.0008325268164250053,0.001716637598466805,0.001058735930854018,0.00044956909182750017,0.00022731988880978103,0.0015796645789195693,0.0025852840602399903,0.0008151022221329023,0.0004126865507744184,0.0008278669394096802,0.0014806138412736987,0.0011678444062940272,0.0,0.0,0.0
C301,5.337758302616153e-06,6.78270951689952e-06,0.0011998501060197328,5.5866962140821994e-05,3.0479922139564412e-05,1.1707956727391935e-05,5.5867440090466615e-06,2.4641800625655317e-06,3.3104662874527536e-06,3.1447662924596366e-06,2.484623194093042e-06,3.2742012586029634e-06,1.99600200797802e-06,5.332308693623578e-06,4.696205591114528e-06,8.980565791492922e-06,8.5426114953177e-06,3.0353135739529624e-05,3.8333247347728386e-05,3.1408679265036906e-05,0.00015909692147456946,0.00014752136107794593,0.12967297332522373,0.007998315389543768,0.0007666318184324865,9.073365409344228e-06,1.013502080857196e-05,1.0597077033176238e-05,1.8142462992864432e-05,0.00015875404172604305,0.015244990284692707,0.0024843655531024823,0.0003235694805510865,1.2711877080635175e-05,2.3931043701135075e-06,1.5731799252173192e-06,2.2140639705074867e-06,1.435695812667539e-06,2.5346778851165007e-06,5.945867135718391e-07,7.171614785932421e-06,2.437863517678786e-05,0.0004041335986207124,2.9915397068159755e-06,2.8191981681677267e-06,2.9588605940721395e-05,3.687271850054278e-05,0.0,0.0,0.0
C302T309,2.5427139550644216e-05,0.00023819279891700078,0.002049404497284917,0.00021681701973699964,5.675571708746476e-05,0.0002341591345478387,5.389317716997643e-05,1.6325192914496647e-05,2.627682615665623e-05,1.4998116164038267e-05,1.0540825671909876e-05,2.4682440257160804e-05,1.1477011545873614e-05,3.9051319550360906e-05,4.101352882906688e-05,8.05609578354512e-05,0.0001025113379438124,0.00029862580010405913,0.00025132775704676054,0.00041797703945010647,0.000600709804836705,0.004799856126935281,0.021871470153792684,0.2204975873331631,0.004541123849685603,3.9766520167269445e-05,4.878552389210909e-05,8.352990132033035e-05,0.0004592421509916409,0.004093742210666176,0.003789062283346799,0.022920936679321838,0.0006166289407033163,0.00010019950169441844,1.1502340359577827e-05,7.551263641043132e-06,1.3727196617146418e-05,1.902296951784489e-05,1.1845739503911809e-05,4.631517558349062e-06,5.434593802066972e-05,0.000304222392376303,0.0012398939183733784,1.9335561519664232e-05,0.00016610715606844243,7.870569180231892e-05,0.0002376936260402221,0.0,0.0,0.0
C31T33,0.008700546033264329,0.004581520787209246,0.01081028868556479,0.012788213667187206,0.014219409194005755,0.01966936730201845,0.005033572340962936,0.008085821847174017,0.00641402843193971,0.006426934681389817,0.003169626279543299,0.005289472133273088,0.004759965788525583,0.004485412606989246,0.0075392884559752635,0.010016500468970428,0.007312475439991951,0.006808504723796174,0.00827882854748985,0.007759286029714758,0.009570657664917041,0.0062178474960652135,0.009055413154922235,0.009611240294448403,0.038574765889093435,0.012558709883786252,0.010270039899343783,0.005659026142957873,0.0035652986456779136,0.008124471547156321,0.01248569511128695,0.02772449872357924,0.006406083881739896,0.003613911878277047,0.003402840020471078,0.0023515893522148487,0.00464894392100692,0.002623734097649927,0.001768015417048916,0.0006878742395275051,0.004126658913250751,0.004696588739699867,0.002892439712657594,0.0027866557190906276,0.0127295818726911,0.009758322239249917,0.006416686300868468,0.0,0.0,0.0
D,0.035953004823101355,0.008431306912418862,0.02517823185619488,0.09906010487026894,0.07917737843240709,0.035346321359996255,0.03818396711163612,0.03235945857035665,0.018492471585854046,0.06419919433506638,0.03823240291974848,0.05515681660997261,0.020727981852349742,0.03675231034036597,0.07280793646221684,0.08685290070954395,0.0786394847096746,0.02887922017173334,0.0227705253643604,0.023351681907929616,0.019929400080394157,0.01906257554887559,0.019552632722217394,0.021551364937700775,0.018996980993045604,0.35734498914929685,0.06601145188639362,0.007370360580194955,0.02886003946801424,0.031077303705296645,0.004194868173170962,0.00354098025951133,0.023735265267280536,0.019755004740782393,0.04871229562743935,0.014963458176697053,0.0291584844702601,0.008764474281393866,0.008749449418821638,0.00856724348566885,0.011187160238928401,0.010024086346828333,0.01653790380906246,0.017712760675291202,0.02979760901172106,0.04277979824121381,0.0387651014093503,0.0,0.0,0.0
